DATE	PREC	TEMP	QOBS
31/12/2007	0	17.6	8.4952985
01/01/2008	2.61899	17.6	8.070533575
02/01/2008	59.36438	17.6	9.981975738
03/01/2008	92.84133	17.6	34.19357646
04/01/2008	0.58371	17.6	20.60109886
05/01/2008	0.45065	17.6	12.95533021
06/01/2008	18.71714	17.6	11.04388805
07/01/2008	3.264	17.6	12.10580036
08/01/2008	0	17.6	9.557210813
09/01/2008	0.22163	17.6	8.920063425
10/01/2008	1.24713	17.6	8.282916038
11/01/2008	3.80358	17.6	8.070533575
12/01/2008	0	17.6	7.64576865
13/01/2008	0	17.6	7.221003725
14/01/2008	0.44795	17.6	7.008621263
15/01/2008	0.02106	17.6	6.7962388
16/01/2008	1.66369	17.6	6.583856338
17/01/2008	0.12709	17.6	6.371473875
18/01/2008	0.11742	17.6	6.159091413
19/01/2008	1.45997	17.6	6.159091413
20/01/2008	3.23065	17.6	5.94670895
21/01/2008	0.53522	17.6	5.94670895
22/01/2008	0.0978	17.6	5.734326488
23/01/2008	4.58489	17.6	5.734326488
24/01/2008	8.08812	17.6	5.521944025
25/01/2008	0.68823	17.6	5.734326488
26/01/2008	8.23076	17.6	5.309561563
27/01/2008	12.22726	17.6	6.159091413
28/01/2008	0.34525	17.6	5.734326488
29/01/2008	0.05757	17.6	5.309561563
30/01/2008	0.97394	17.6	5.0971791
31/01/2008	0.06135	17.6	5.0971791
01/02/2008	2.12041	17.6	5.0971791
02/02/2008	0	17.6	4.884796638
03/02/2008	0.07392	17.6	4.884796638
04/02/2008	0	17.6	4.884796638
05/02/2008	0	17.6	4.672414175
06/02/2008	0.16302	17.6	4.672414175
07/02/2008	0	17.6	4.672414175
08/02/2008	0	17.6	4.460031713
09/02/2008	0	17.6	4.460031713
10/02/2008	0.62964	17.6	4.460031713
11/02/2008	3.99267	17.6	4.460031713
12/02/2008	0.35033	17.6	4.460031713
13/02/2008	1.88853	17.6	4.24764925
14/02/2008	16.74161	17.6	4.672414175
15/02/2008	0.05757	17.6	4.672414175
16/02/2008	1.97796	17.6	4.460031713
17/02/2008	0.71595	17.6	4.24764925
18/02/2008	16.80454	17.6	4.884796638
19/02/2008	0.95432	17.6	4.672414175
20/02/2008	0.73353	17.6	4.24764925
21/02/2008	0.23055	17.6	4.24764925
22/02/2008	0.54234	17.6	4.035266788
23/02/2008	0.89128	17.6	4.035266788
24/02/2008	0.93373	17.6	4.035266788
25/02/2008	0.46639	17.6	4.035266788
26/02/2008	0	17.6	4.035266788
27/02/2008	0	17.6	3.822884325
28/02/2008	0	17.6	3.822884325
29/02/2008	0	17.6	3.822884325
01/03/2008	0.55419	17.6	3.822884325
02/03/2008	0	17.6	3.822884325
03/03/2008	0	17.6	3.822884325
04/03/2008	0.01227	17.6	3.822884325
05/03/2008	0.47722	17.6	3.610501863
06/03/2008	0	17.6	3.610501863
07/03/2008	0.08763	17.6	3.610501863
08/03/2008	0.06135	17.6	3.610501863
09/03/2008	0	17.6	3.610501863
10/03/2008	0	17.6	3.3981194
11/03/2008	0.04151	17.6	3.3981194
12/03/2008	0.18695	17.6	3.610501863
13/03/2008	1.41904	17.6	3.610501863
14/03/2008	0	17.6	3.610501863
15/03/2008	0.2106	17.6	3.610501863
16/03/2008	0.85342	17.6	3.3981194
17/03/2008	0.03333	17.6	3.3981194
18/03/2008	0.05757	17.6	3.3981194
19/03/2008	11.12135	17.6	3.3981194
20/03/2008	8.99095	17.6	3.822884325
21/03/2008	6.62362	17.6	3.610501863
22/03/2008	0.52616	17.6	3.610501863
23/03/2008	1.16134	17.6	3.3981194
24/03/2008	2.42904	17.6	3.3981194
25/03/2008	0.07392	17.6	3.3981194
26/03/2008	0.90495	17.6	3.3981194
27/03/2008	0.76806	17.6	3.3981194
28/03/2008	0.66775	17.6	3.185736938
